name,MW,time
!0S2_4EO6_A,388.544,15016
!0S3_4EO8_A,389.532,14834
!0S5_4EOX_P,414.475,23806
!0S6_4F3I_A,418.94,20125
!0S8_4F64_A,422.28,9083
!0S9_4F65_A,454.323,11457
!0SL_4FA3_A,318.368,14692
!0SR_4F6U_A,404.569,23941
!0SX_4F9C_A,301.812,37817
!0SZ_4FAM_A,316.352,10432
!0TF_4J4B_A,261.341,600
!0TK_4FFO_A,212.141,466
!0TT_4FHD_A,484.457,41372
!0U8_4FFG_A,324.281,40181
!0UB_4FFI_B,504.437,47566
!0UJ_4FK6_A,359.446,22267
!0UP_4FM7_A,478.6,24684
!0UQ_4FM8_A,462.601,24511
!0UU_4FOC_A,484.674,49332
!0UX_4FPS_A,423.554,37728
!0V0_4UMU_A,333.404,12197
!0V4_4FR3_A,496.633,74621
!0V5_3UJS_B,167.034,313
!0V7_4FPH_A,233.26,3517
!0V8_4FPY_A,294.165,3283
!0VC_4FRR_A,263.355,17192
!0VF_4FYO_A,519.552,21448
!0VG_4FZ6_A,378.514,24331
!0VH_4FZ7_A,356.445,19756
!0VM_4G16_A,404.409,21884
!0VN_4G17_A,299.434,18427
!0WB_4G3F_A,311.334,9462
!0WC_4G3E_A,397.881,12016
!0WE_4FS3_A,377.436,14258
!0WH_4G31_A,451.444,20410
!0WO_4EYB_A,417.436,26202
!0WT_4GEE_A,380.896,54295
!0WW_4GG9_A,447.66,47908
!0WY_4GIY_A,461.602,23064
!0X5_4GIH_A,350.199,9487
!0XE_4Q2V_A,445.353,36586
!0XF_4GFG_A,356.445,18607
!0XS_4GLX_A,335.08,7558
!0XT_4GLW_A,206.205,6233
!0XU_4GQB_A,380.379,31468
!0XW_4H2H_A,159.183,1636
!0XZ_4GV1_A,429.923,25309
!0Y4_4GUB_A,416.544,33046
!0Y5_4GSY_A,505.486,28538
!0Y7_4HBM_A,449.347,26265
!0YB_4GFD_A,584.501,27298
!0YJ_4H1M_A,472.582,19798
!0YN_4MHW_A,263.359,5835
!0YR_4H19_A,180.136,699
!10E_4H4D_A,258.083,405
!10G_4H4E_A,274.125,558
!10N_4GU6_A,440.562,27027
!10P_3QTO_H,368.473,21106
!10U_2ZFT_A,373.492,21490
!115_1HWI_A,419.529,26636
!117_1HWK_A,557.632,27145
!11C_3PWS_A,160.148,413
!11D_3AKN_A,433.584,10012
!11G_4I6B_A,260.335,13556
!11H_4NCE_A,366.323,7396
!11N_2ZEC_A,349.446,19754
!11P_2RAH_A,305.118,9595
!11U_2ZQ1_A,387.519,23319
!11X_3FTV_A,184.237,5172
!11Y_4IBE_A,517.756,16075
!122_1GI4_A,260.335,18703
!12E_3MRT_A,342.371,27201
!12I_4A7G_A,229.301,12007
!12M_2F62_A,136.191,1748
!12Z_3RKB_A,302.395,10830
!130_1GJ5_H,329.375,18067
!132_1GJ6_A,370.896,25090
!133_1GJ8_B,352.447,21497
!135_1GJA_B,255.272,7068
!136_1GJD_B,430.648,9462
!13A_2B1G_A,325.319,35166
!13M_3VI8_A,464.532,29250
!13N_2XX5_A,470.945,17679
!13P_1NEY_A,168.042,323
!13Y_4HDC_A,526.024,25375
!140_1JPZ_A,312.467,481
!145_1JYV_A,301.249,22799
!149_1JZ5_A,178.14,7277
!14D_4HEJ_A,460.469,19451
!14I_3MB7_A,294.215,16680
!14Z_4HBW_A,269.32,8510
!152_1NDF_A,161.199,292
!15H_4HF4_A,447.553,20278
!15I_3ZO2_A,273.357,16583
!15J_4HEU_A,424.559,25660
!15M_2F38_A,415.566,24389
!15T_4IVD_A,337.419,21764
!15V_4HGE_A,352.778,13786
!15W_4HL5_A,268.264,11314
!15Z_4HLF_A,270.237,11264
!164_4MYS_A,238.193,6252
!16F_3MRV_A,357.382,27609
!16G_1NE7_A,299.172,11932
!16I_4BUV_A,355.454,19815
!16O_3MT7_A,420.279,26281
!16S_4HLM_A,254.237,11343
!16T_4HLD_A,491.945,16921
!16W_4HNF_A,359.81,13622
!173_3SG0_A,149.123,2525
!174_1T5D_X,155.558,1701
!17C_4IJ1_A,255.226,5830
!17D_3QS8_A,211.236,5417
!17L_3V9T_A,529.537,33927
!17S_3MRX_A,371.409,26495
!17T_3MT8_A,375.828,26401
!18F_4JV6_B,284.354,13515
!18G_4HOE_A,389.47,13460
!18H_4HOG_A,359.444,12349
!18K_3SW4_A,326.419,9660
!18O_3MT9_A,386.38,26564
!18P_3U6A_A,371.821,12313
!18S_3MS2_A,355.409,26054
!18U_4JXS_B,339.344,6979
!198_1Z95_A,430.373,10965
!19A_2OJG_A,280.324,13054
!19B_3E93_A,497.608,28946
!19H_4WMU_A,400.339,23141
!19L_4HV3_A,479.426,28484
!19M_4HUP_X,565.601,40399
!19N_4K5L_A,224.198,527
!19T_4MYQ_A,386.875,10835
!1A0_4HXW_A,435.997,46687
!1A7_4HXN_A,197.229,7285
!1A8_4HXM_A,425.545,12994
!1AL_4PXD_A,175.123,334
!1AM_4HYH_A,451.521,18121
!1AO_4HYI_A,413.56,22101
!1AX_4HX2_A,166.172,448
!1AZ_2WHI_A,424.281,14216
!1B0_2XDE_A,425.522,18719
!1B2_4HWR_A,374.414,18205
!1B3_4HWS_A,435.885,19332
!1B4_4I0R_A,370.402,14795
!1B5_4I0S_A,368.82,17877
!1B6_4I0T_A,338.407,15797
!1B7_4I0D_A,403.945,13926
!1B9_4I0G_A,440.762,12868
!1BE_4I1C_A,474.039,18503
!1BF_4I0F_A,431.959,18659
!1BG_4HY4_A,525.726,52721
!1BK_4HYU_A,453.599,29215
!1BL_4I0H_A,560.672,29495
!1BM_2HK5_A,432.541,20050
!1BN_3PB9_X,163.239,6559
!1BR_4I4F_A,415.572,17288
!1BS_4I10_A,467.026,31589
!1BU_3GCQ_A,510.633,25345
!1BW_4HZM_A,233.285,9556
!1BY_2I19_A,278.096,3721
!1C2_2F6T_A,384.427,12754
!1CA_3RY9_A,330.461,46021
!1CH_4I11_A,321.393,13533
!1CO_4I6W_A,163.215,271
!1CQ_4KTL_A,363.41,15777
!1CY_4KNE_A,251.715,8363
!1D6_4IBG_A,504.895,19856
!1D8_4IBI_A,544.84,21325
!1DC_4L6Z_A,330.425,21742
!1DE_4IBK_A,517.315,17527
!1DF_4NG3_A,211.128,2376
!1DJ_4I7N_A,132.159,1973
!1DN_4LEK_X,420.468,25525
!1DR_3JPV_A,249.372,28525
!1DT_4I6Q_A,331.433,28604
!1EB_4LVD_A,206.198,5899
!1ED_4ICT_A,310.347,16842
!1EN_4IJV_A,379.815,13897
!1EO_4IJU_A,339.364,19552
!1EU_3FV5_A,323.349,13848
!1F1_3KFR_B,160.149,5526
!1F6_4INB_A,419.397,16741
!1FE_4IDK_A,207.209,7373
!1FX_4ISF_A,422.517,31244
!1FZ_4Q45_A,479.168,26811
!1G4_4IPS_A,313.371,17099
!1G7_4IPW_A,342.346,16179
!1GC_3PNC_A,501.176,24627
!1GE_4ISH_H,505.564,28830
!1GG_4ISI_H,472.003,20279
!1GH_3ZYU_A,425.524,38173
!1GJ_4IVW_A,393.423,24309
!1GK_3MPT_A,313.371,13338
!1GP_4JEJ_A,170.058,306
!1GR_4IV2_A,358.399,21964
!1GT_4IVY_A,348.319,13519
!1GU_4IW6_A,348.319,14028
!1GV_4IWC_A,296.383,11645
!1H2_4J0R_A,295.332,10405
!1H5_4J0Z_A,389.331,14611
!1H6_4J0Y_A,371.341,13424
!1H8_4J0P_A,353.35,11064
!1HG_4J1K_A,439.339,20616
!1HJ_4J1H_A,421.348,17019
!1HM_4J1E_A,439.339,17396
!1HN_3NKT_A,186.164,5052
!1HQ_4J17_A,389.331,13001
!1HR_4J36_B,258.077,9519
!1HX_4ITJ_A,309.766,11963
!1IR_4P0N_A,351.425,19227
!1IU_4BXK_A,480.458,24375
!1J2_4IZY_A,469.6,30118
!1J3_4J52_A,553.652,28407
!1J5_4IVA_A,320.453,47465
!1JC_4IWD_A,546.684,33170
!1JD_4IXC_A,475.972,28738
!1JE_4J02_A,350.281,28650
!1JF_4J04_A,414.068,7222
!1JG_4J06_A,395.657,6114
!1JH_4J08_A,382.41,11058
!1JR_4J93_A,280.324,20554
!1JS_4J3D_A,422.454,14259
!1JT_4J3F_A,314.465,21943
!1K9_4JA8_A,481.511,17769
!1KG_4JCH_A,472.7,74743
!1KO_4JIK_A,371.844,20326
!1KS_4JKV_A,517.542,26940
!1KX_3VRI_A,296.412,35890
!1L6_4JIB_A,429.579,30042
!1LF_4JNC_A,408.421,14499
