Entry,Method,RMSD,Bond error,Angle error,Torsion error,TFD,Stereo correct
002_2FV9_B,New,,,,,,F
002_2FV9_B,OB,3.3755984328445,0.047779092055298,1.1017476408811,64.329751452407,,T
002_2FV9_B,RDKit,2.18141710968791,0.073961901947055,3.36535186312555,70.8056487306702,,T
003_2JFZ_A,New,1.88001053945702,0.113818734443359,3.78804819082133,39.0276021775049,0.170008368183406,T
003_2JFZ_A,OB,2.06279045341919,0.059685287348063,1.70212132253324,33.9055622597192,0.157177734672825,T
003_2JFZ_A,RDKit,1.87016980096226,0.065973324903535,2.5633489350774,31.3960224878418,0.140660636755537,T
00J_2XIR_A,New,3.37571047246057,0.050680324151094,1.16781906069813,51.2954839413844,0.178185701830651,T
00J_2XIR_A,OB,4.45805064159112,0.058236879933917,1.45916752294227,53.4025329135874,0.358726738578845,T
00J_2XIR_A,RDKit,0.746786706520139,0.056181893226686,2.42947902021778,44.1439066260031,0.031879318672954,T
017_4DQE_B,New,3.51233932351537,0.042737668504068,1.96920792590631,46.534580906211,,T
017_4DQE_B,OB,2.91032720455007,0.054503238640734,1.96038423346313,53.5209972232355,,T
017_4DQE_B,RDKit,3.25992288355721,0.068286278099365,3.08568452300982,62.4178409092739,,T
018_3H7W_A,New,1.70899414006289,0.030574024620639,2.88644923599543,45.7021732648738,0.570531372468833,T
018_3H7W_A,OB,1.53138854677245,0.060541412948883,2.33048376212339,55.6797045085069,0.512634054319516,T
018_3H7W_A,RDKit,1.28924971647474,0.048304466761333,2.24957738875997,31.5213163755099,0.086109698094092,T
01I_3MA3_A,New,1.08235180628505,0.097254108313225,5.66428040786335,21.3338277490817,0.146813404038951,T
01I_3MA3_A,OB,1.08235180628505,0.097254108313225,5.66428040786335,21.3338277490817,0.146813404038951,T
01I_3MA3_A,RDKit,0.179987073175322,0.04445499247767,3.13253917030134,1.90071372266595,0.023242001900518,T
020_3H82_A,New,1.48504453365487,0.044523101585644,2.49630423981113,53.3772158146474,0.566278506730194,T
020_3H82_A,OB,1.35293795338285,0.047180545867175,2.07908031660696,43.5399271842071,0.255714821958408,T
020_3H82_A,RDKit,0.999566151937988,0.054597184199455,2.58741724008152,32.6991141918216,0.104317090946418,T
022_3QJ5_A,New,1.14792514559245,0.045827188271148,2.01151661241891,36.4152731207776,0.225461636092544,T
022_3QJ5_A,OB,1.44485044786533,0.045683148985361,1.50463096660435,37.7534380641222,0.253580960257313,T
022_3QJ5_A,RDKit,1.75354576706439,0.052414097813244,2.72258704982075,46.666889625743,0.292736941576499,T
023_2WO9_B,New,2.36416685956187,0.051579058987958,1.54908804826254,47.0500988941442,,T
023_2WO9_B,OB,2.81453574036843,0.050238644614999,1.41669893819494,58.2559134395979,,T
023_2WO9_B,RDKit,1.5488914555483,0.074666249977189,3.15907932009073,58.6199247470862,,T
024_2QBS_A,New,1.87316421454112,0.052883283849239,3.54903915164287,62.4407037255244,0.289974346487297,T
024_2QBS_A,OB,1.93685530938527,0.069037529431484,5.01099546454728,43.60189485429,0.26492467901379,T
024_2QBS_A,RDKit,1.20831693189954,0.069550069819764,3.60410805138817,53.9877198667223,0.076316579767572,T
027_3PIX_A,New,0.945062934036875,0.05006917358294,1.49259767249166,54.2339717854381,0.228391370483798,T
027_3PIX_A,OB,,,,,,F
027_3PIX_A,RDKit,0.950467836309292,0.067017327969548,2.46354324323039,51.7966617083016,0.047437117537613,T
02Z_3RZB_A,New,1.00071788230572,0.046764609024032,2.10754571187886,36.7335081439514,0.151341513912476,T
02Z_3RZB_A,OB,1.56861181694137,0.053482694700794,2.74533250468068,44.7775358225833,0.371677803208447,T
02Z_3RZB_A,RDKit,1.40709529559927,0.063015090992527,3.15152869277199,28.2498770354642,0.354566635288205,T
03I_3U1Y_A,New,1.14240030440182,0.053648111748918,1.75775445893222,54.4129323675974,,T
03I_3U1Y_A,OB,0.818918199338392,0.055558485632603,1.41317494457168,39.5934680433606,,T
03I_3U1Y_A,RDKit,2.19508545407925,0.065202213819431,3.30562008175042,60.8549014633353,,T
03K_4EK5_A,New,0.971257051222405,0.041783147391526,4.84370252367589,39.4079967651382,0.15531638132879,T
03K_4EK5_A,OB,1.34692598126258,0.044031834404179,4.5590253251768,44.050297387055,0.342814909841342,T
03K_4EK5_A,RDKit,0.833879616341597,0.057375016634803,2.73503273855925,43.5856835008982,0.066289630547451,T
03U_3U2O_A,New,0.878153222561576,0.046336545549232,1.54215773930378,38.9357240200607,0.215523495250196,T
03U_3U2O_A,OB,1.83073799287665,0.049130641378867,1.30989182223859,42.7030149683628,0.350702006090217,T
03U_3U2O_A,RDKit,1.51512463679602,0.048599769201346,2.19432879548843,44.3295637784844,0.141552526379576,T
03X_3U6J_A,New,2.90319388399431,0.052138407507289,2.06046040262556,29.2410820781637,0.222898942064523,T
03X_3U6J_A,OB,1.65162488323876,0.053588274399013,1.57892450769544,23.1456304510176,0.212963774036704,T
03X_3U6J_A,RDKit,2.6224780068188,0.071471643717489,4.77106519059191,31.3881248750366,0.231661263693048,T
03Z_3RAK_A,New,1.39519649862822,0.056971066290125,1.8060322053248,36.5055461355947,0.182495127288686,T
03Z_3RAK_A,OB,1.74065772958821,0.057853244425352,1.8169356310619,46.7581146484508,0.361607560486172,T
03Z_3RAK_A,RDKit,2.34961643812047,0.067407721015477,2.95568465772308,30.6278662811155,0.25001441436083,T
044_3U6I_A,New,3.1983257302397,0.050462718826381,2.13418674265601,38.7515272687066,,T
044_3U6I_A,OB,2.04973426093714,0.054179420374553,1.84897836215303,35.2800354905937,,T
044_3U6I_A,RDKit,1.20567924294987,0.052389413008785,2.50996781726644,26.7515545820016,,T
046_3UGC_A,New,3.76593278046364,0.093989742187628,3.48308212122348,71.6439977625683,,T
046_3UGC_A,OB,2.76970338954367,0.064086341578681,3.46384223558279,47.6367379666001,,T
046_3UGC_A,RDKit,2.85194229512726,0.061413944396089,2.7874341725338,48.027562357523,,T
04L_3PJ3_A,New,2.06870934456418,0.037520968797731,1.69665246744616,25.0028407517022,0.334227604347103,T
04L_3PJ3_A,OB,,,,,,F
04L_3PJ3_A,RDKit,1.12745164621155,0.048467960933346,2.05859818975597,22.63297984732,0.222205896682679,T
04Z_3RAL_A,New,1.66834783929735,0.059151376207308,1.74346389548953,39.6831585834429,0.181123987759651,T
04Z_3RAL_A,OB,2.3790336178589,0.059257084654395,1.75109353461521,46.5830555691774,0.27264771043304,T
04Z_3RAL_A,RDKit,2.46998232767475,0.070731472128107,2.97068494097858,28.5592522478173,0.197419282408486,T
053_3SKA_A,New,1.93353348050634,0.036192947459314,1.75396045066911,26.7006772951096,0.203195824579656,T
053_3SKA_A,OB,1.98452796897832,0.041497031667685,1.65624217132627,31.9931190164991,0.196801187106298,T
053_3SKA_A,RDKit,2.05475411825013,0.039031026462506,2.65306423369036,20.7725419634235,0.208418322622631,T
054_3SKE_A,New,1.67421724729852,0.038842363967187,2.67962953784926,28.1837165616569,0.237298488255912,T
054_3SKE_A,OB,,,,,,F
054_3SKE_A,RDKit,1.87588120905325,0.041938431110591,3.66704770452758,15.1432074725902,0.225203780913694,T
05B_3R1N_A,New,1.51317385566102,0.105990948292987,5.36041300163888,48.2056389064873,0.152454394751969,T
05B_3R1N_A,OB,,,,,,F
05B_3R1N_A,RDKit,2.78061753658747,0.054063283331569,2.63091541642074,43.7057343771465,0.255090704271717,T
064_3DCT_A,New,1.32321979020924,0.048064475287558,1.93420698950155,45.0103803040943,0.284369918358346,T
064_3DCT_A,OB,1.62213721097959,0.061677277771886,2.16752955155689,31.8854887704916,0.329796897127254,T
