MW,RMSD
447.53200000000015,3.375598432844497
439.5190000000002,2.0627904534191863
462.52600000000035,4.458050641591118
547.6740000000003,2.9103272045500725
302.277,1.5313885467724462
294.218,1.0823518062850492
286.209,1.352937953382847
413.4570000000003,1.4448504478653301
390.5040000000002,2.814535740368428
452.32600000000014,1.9368553093852674
234.28400000000002,1.5686118169413672
490.62200000000024,0.8189181993383919
270.29200000000003,1.3469259812625813
368.3640000000002,1.830737992876645
528.5400000000002,1.6516248832387634
374.44700000000006,1.7406577295882113
542.5670000000002,2.0497342609371385
571.604,2.769703389543671
404.4730000000001,2.3790336178589033
427.3620000000001,1.9845279689783213
541.8380000000002,1.6221372109795869
576.6680000000003,2.87326434860029
311.3570000000001,1.0986493981048593
435.59200000000027,2.798780454071459
368.48100000000017,1.7930716200669798
313.357,1.4007720335033622
516.6380000000003,5.538914541388458
269.31999999999994,0.5649857906381104
534.6770000000001,3.2768600120535716
294.382,0.8381616131771041
150.22099999999998,0.7232372252111364
484.46800000000025,2.7254306678252025
384.3950000000001,1.4185286661629755
430.7230000000003,1.9182398639206175
408.25600000000003,1.2882654333571586
252.273,0.519784290103512
393.81000000000006,2.0821085357707685
325.774,1.3930174166499765
323.78700000000003,2.1257781238596776
446.36700000000013,1.5284176586735891
339.3800000000001,1.5527755494232174
330.40500000000003,1.8290151107915835
369.3970000000001,1.7595585153145061
323.37200000000007,0.8681783788926791
460.37300000000016,2.102785696151852
340.40300000000013,1.3417453735177969
427.2780000000002,1.1193959702782204
407.5190000000002,3.1879491391601915
262.338,1.3256767198228825
195.21799999999996,1.507085998894725
347.41800000000006,1.4559401570898047
245.326,0.9413332953128398
305.317,2.21839314186073
339.762,2.4753596283087003
389.31300000000005,2.809225614055878
538.6500000000002,3.958818965326279
247.05599999999995,1.5034992070322077
259.06699999999995,2.507794152436826
227.02499999999998,1.4632304382190249
444.65600000000023,1.8110341741121379
336.23099999999994,0.6505189043015396
350.3340000000001,0.5723760062593757
225.251,0.4368972324871022
407.84800000000007,1.2018734883543445
268.276,1.7672566049407132
244.22199999999998,0.9344245457470836
273.332,2.234282791820085
194.621,0.9897468822757803
188.18599999999995,0.2582503397397073
211.22,1.8969051163417479
