name,MW,time
002_2FV9_B,447.53199999999964,102622.98583984375
003_2JFZ_A,439.5189999999997,67015.17105102539
00J_2XIR_A,462.5259999999997,97679.85343933105
017_4DQE_B,547.6740000000017,146246.43325805664
018_3H7W_A,302.2769999999998,11352.062225341797
01I_3MA3_A,294.2179999999999,14296.770095825195
020_3H82_A,286.20899999999983,9130.477905273438
022_3QJ5_A,413.45699999999977,45797.82485961914
023_2WO9_B,390.50399999999956,116104.8412322998
024_2QBS_A,452.3259999999998,39040.327072143555
027_3PIX_A,382.4919999999996,65483.808517456055
02Z_3RZB_A,234.28400000000008,10700.94108581543
03I_3U1Y_A,490.62199999999956,191296.10061645508
03K_4EK5_A,270.29199999999975,22458.553314208984
03U_3U2O_A,368.3639999999998,29343.605041503906
03X_3U6J_A,528.5400000000008,115008.35418701172
03Z_3RAK_A,374.44699999999983,26242.733001708984
044_3U6I_A,542.5670000000014,156717.77725219727
046_3UGC_A,571.6040000000015,157367.46788024902
04L_3PJ3_A,473.5359999999999,73775.05302429199
04Z_3RAL_A,404.47299999999984,37799.59678649902
053_3SKA_A,427.36199999999985,26612.520217895508
054_3SKE_A,500.43799999999993,31667.94776916504
05B_3R1N_A,404.44999999999976,61599.2546081543
064_3DCT_A,541.838000000001,56317.32940673828
065_2QD7_B,576.6680000000017,193881.27326965332
068_2WO9_A,311.35699999999963,39941.54930114746
06F_3UVR_A,521.6650000000003,85080.86204528809
06J_3R92_A,435.59199999999953,176447.62992858887
06P_3QTV_H,368.4809999999996,104401.5884399414
06T_3RKZ_A,494.6599999999995,222365.8561706543
06Z_3RJC_A,313.3569999999998,23150.68244934082
076_3TOF_A,516.638,154690.26565551758
077_2WO8_A,269.3199999999997,25578.975677490234
079_3TOG_A,534.6770000000009,208454.60891723633
07N_3TTZ_A,420.2729999999999,46573.87733459473
07U_3TXO_A,294.3819999999996,31753.5400390625
07V_3TXZ_A,150.22100000000012,7866.621017456055
082_3TY0_A,484.46799999999996,82972.76496887207
085_3TZM_A,384.3949999999998,40559.05342102051
087_3U2K_A,430.7229999999999,45556.30683898926
08B_3U2D_A,408.2559999999997,37158.966064453125
08C_4BU9_A,252.27300000000005,15630.245208740234
08E_3U4O_A,393.80999999999983,33018.35060119629
08H_3U5J_A,308.7719999999998,18708.70590209961
08J_3U5K_A,325.77399999999983,23411.989212036133
08K_3U5L_A,323.7869999999998,26122.331619262695
08W_3UA8_A,446.3669999999999,46110.39161682129
08Z_3RK7_A,339.3799999999998,23043.394088745117
097_1R55_A,330.4049999999995,73458.43315124512
099_3HYG_A,369.3969999999997,63835.62088012695
09A_3UDM_A,323.3719999999997,47911.643981933594
09D_3UDP_A,460.3729999999997,77463.86528015137
09F_3UDR_A,340.40299999999957,70225.47721862793
09G_3UDY_A,427.2779999999999,56326.62773132324
09H_3U9N_A,407.5189999999998,72414.39819335938
09J_3U8W_A,465.9159999999998,54426.90849304199
09K_4FKI_A,325.28999999999974,32195.8065032959
09L_4TKG_A,434.4709999999998,52799.94010925293
09Z_3RK9_A,262.3379999999999,18596.887588500977
0A1_3QTC_A,195.21800000000007,13252.496719360352
0B1_3VV7_A,347.41799999999967,53910.97068786621
0B3_3WB4_A,245.32600000000014,25521.278381347656
0BX_3UNJ_A,305.31699999999984,23881.43539428711
0BY_3UNK_A,339.7619999999998,26215.791702270508
0C1_3UPH_A,499.4949999999999,38164.13879394531
0C8_3UP2_A,389.3129999999998,31092.64373779297
0CA_3UPE_A,526.6610000000004,146331.5486907959
0CB_3UUZ_A,538.6500000000012,166982.65075683594
0CH_3UV6_A,247.05600000000007,6659.269332885742
0CJ_3UTD_A,259.06699999999995,6776.571273803711
0CK_3UZP_A,337.4019999999996,32415.62843322754
0CN_3UV7_A,227.02500000000003,5456.686019897461
0CO_3CS6_A,444.6559999999994,194451.80892944336
0CZ_3UUA_A,336.2309999999999,16219.854354858398
0D2_3UVC_A,350.33399999999983,39149.28436279297
0DF_3UWK_A,225.25100000000006,9092.569351196289
0DI_3SFF_A,407.84799999999973,65412.044525146484
0DJ_3UWO_A,268.2759999999997,10078.191757202148
0DN_3UXM_A,244.22200000000007,16089.200973510742
0E0_5C5P_A,273.33199999999965,34046.41151428223
0F9_3VBT_A,194.62100000000004,5445.718765258789
0FK_3VBV_A,188.18600000000006,8329.391479492188
0FR_3VBY_A,211.22000000000006,11553.764343261719
0FV_3V1X_A,329.17699999999974,27104.854583740234
0FX_3VBL_A,546.3390000000013,110566.1392211914
0G1_3V5L_A,431.56099999999964,41620.01609802246
0G2_3V8W_A,401.53499999999974,47590.49415588379
0G8_4QWA_A,386.1949999999999,28589.01023864746
0GA_5CWA_A,236.17900000000003,9975.671768188477
0GD_4D7J_A,337.4419999999996,56210.994720458984
0GO_3VEU_A,550.7880000000017,252888.44108581543
0GX_3V7T_A,496.4659999999998,107746.60110473633
0GY_4DI9_A,199.094,5100.011825561523
0H5_3VEY_A,255.2810000000001,19989.967346191406
0H9_4FPE_A,245.30000000000013,15960.454940795898
0HD_3V8S_A,280.3309999999997,24487.733840942383
0HL_3VFE_A,555.7270000000012,162294.1493988037
0HM_4D8N_A,415.4969999999997,73882.5798034668
0HN_4DDK_A,165.12400000000002,4627.704620361328
0HV_4DBS_A,307.28499999999974,16310.453414916992
0J2_4D8Z_A,264.22099999999983,18409.49058532715
0J3_4GG5_A,446.45299999999975,36664.485931396484
0J6_4DE1_A,304.2929999999998,18460.27374267578
0J7_4DDS_A,342.3419999999998,34878.25393676758
0J8_4GG7_A,499.4769999999999,56677.57987976074
0JA_3VNT_A,547.999000000001,78466.65382385254
0JB_4DE0_A,304.2929999999998,16011.953353881836
0JD_4DE5_A,179.15100000000004,7066.249847412109
0JE_3VF8_A,360.39299999999974,45920.13359069824
0JF_4DCE_A,491.5919999999997,154690.26565551758
0JJ_4DEG_A,404.4589999999999,42806.148529052734
0JO_4HPX_B,313.18199999999985,15267.372131347656
0JX_3UTC_A,245.04000000000005,5808.115005493164
0K0_4DFL_A,405.5039999999997,60581.44569396973
0K9_4DI2_A,593.8140000000021,266652.10723876953
0KC_4DHN_A,297.2469999999997,27201.175689697266
0KF_3VO3_A,431.45599999999985,60261.48796081543
0KG_4DHT_A,311.27399999999966,26779.1748046875
0KH_4DHU_A,374.11599999999993,26160.001754760742
0KJ_4DJR_A,588.7520000000015,193757.7724456787
0KX_4Q8E_A,462.141,36913.87176513672
0L7_4DFP_A,584.288000000001,101458.78791809082
0LD_4GEB_A,472.3739999999999,35198.92692565918
0LH_3V1S_A,161.22800000000012,8650.064468383789
0LI_3ZOS_A,534.586000000001,158421.51641845703
0LM_4DKO_A,370.87599999999964,80001.3542175293
0LQ_4GB2_B,488.61099999999976,142502.0694732666
0LR_4GJ5_A,318.4399999999996,72362.89978027344
0LU_4GJ8_A,326.48499999999956,59060.33515930176
0LX_4DV8_A,406.4729999999996,91008.66317749023
0M4_4DVW_A,340.8059999999996,44293.64204406738
0MN_4DW6_A,390.46399999999977,45888.18550109863
0N2_4E33_A,530.3400000000008,56378.60298156738
0N5_4E1K_A,386.4109999999998,52422.04666137695
0N6_4E47_A,439.56099999999975,75444.22149658203
0NH_4E4L_A,333.4169999999997,39062.0231628418
0NJ_4E5D_A,259.30499999999995,13315.439224243164
0NL_4E4N_A,341.4149999999996,57502.74658203125
0NP_4EAD_A,271.2079999999998,15522.71842956543
0NR_4E73_A,563.6780000000017,229073.76289367676
0NS_4E96_A,347.39599999999973,37355.899810791016
0NT_4E5W_A,381.50399999999956,116763.11492919922
0NU_4E6D_A,308.3449999999997,35722.970962524414
0NV_4E6Q_A,332.43099999999964,61504.364013671875
0NY_4NPW_A,327.3879999999997,51152.46772766113
0O4_4EE0_A,362.45299999999963,64924.71694946289
0O5_4EDZ_A,376.4799999999996,53435.8024597168
0O7_4EBV_A,339.41999999999973,25413.75160217285
