Name,MW,time
!0S2_4EO6_A,388.544,6184
!0S3_4EO8_A,389.532,7531
!0S5_4EOX_P,414.475,7350
!0S6_4F3I_A,414.908,8020
!0S8_4F64_A,422.28,3607
!0S9_4F65_A,454.323,2851
!0SL_4FA3_A,318.368,2207
!0SR_4F6U_A,400.538,9048
!0SX_4F9C_A,290.725,9080
!0SZ_4FAM_A,316.352,2366
!0TF_4J4B_A,261.341,632
!0TK_4FFO_A,212.141,425
!0TT_4FHD_A,484.457,9924
!0U8_4FFG_A,324.281,22203
!0UB_4FFI_B,504.437,10567
!0UJ_4FK6_A,359.446,10347
!0UP_4FM7_A,478.6,13952
!0UQ_4FM8_A,462.601,13873
!0UU_4FOC_A,475.603,11082
!0UX_4FPS_A,423.554,25497
!0V0_4UMU_A,333.404,7866
!0V4_4FR3_A,496.633,18549
!0V5_3UJS_B,167.034,290
!0V7_4FPH_A,233.26,1680
!0V8_4FPY_A,294.165,1638
!0VC_4FRR_A,263.355,5907
!0VF_4FYO_A,519.552,8562
!0VG_4FZ6_A,370.45,5444
!0VH_4FZ7_A,356.445,3464
!0VM_4G16_A,395.337,7413
!0VN_4G17_A,290.362,6782
!0WB_4G3F_A,311.334,1059
!0WC_4G3E_A,397.881,7105
!0WE_4FS3_A,377.436,6910
!0WH_4G31_A,451.444,7629
!0WO_4EYB_A,417.436,3919
!0WT_4GEE_A,372.832,12966
!0WW_4GG9_A,437.581,11699
!0WY_4GIY_A,461.602,12629
!0X5_4GIH_A,350.199,3824
!0XE_4Q2V_A,445.353,7645
!0XF_4GFG_A,356.445,4575
!0XS_4GLX_A,335.08,6798
!0XT_4GLW_A,206.205,5559
!0XU_4GQB_A,380.379,12160
!0XW_4H2H_A,159.183,1094
!0XZ_4GV1_A,429.923,7386
!0Y4_4GUB_A,402.433,7177
!0Y5_4GSY_A,503.47,9326
!0Y7_4HBM_A,449.347,3836
!0YB_4GFD_A,584.501,9807
!0YJ_4H1M_A,472.582,7002
!0YN_4MHW_A,263.359,1812
!0YR_4H19_A,180.136,468
!10E_4H4D_A,258.083,465
